,loss,categorical_accuracy,precision,recall,val_loss,val_categorical_accuracy,val_precision,val_recall,lr
288,0.4883617162704468,0.8456944227218628,0.9031689167022705,0.7964444160461426,0.746590793132782,0.7801666855812073,0.842798113822937,0.7309166789054871,0.0005
289,0.4846705198287964,0.8445555567741394,0.9028544425964355,0.7951388955116272,0.7162958979606628,0.7830833196640015,0.8446639180183411,0.734083354473114,0.0005
290,0.4855625629425049,0.8460277915000916,0.901578426361084,0.7949166893959045,0.7153637409210205,0.7837499976158142,0.8470260500907898,0.73458331823349,0.0005
291,0.478776752948761,0.8472222089767456,0.9035616517066956,0.7956110835075378,0.7462924718856812,0.7777500152587891,0.8429625630378723,0.7331666946411133,0.0005
292,0.4774825870990753,0.8489444255828857,0.9051200747489929,0.7989444732666016,0.7295824289321899,0.7777500152587891,0.840772271156311,0.7330833077430725,0.0005
293,0.483964204788208,0.8468055725097656,0.9038674235343933,0.7952777743339539,0.7230095267295837,0.7820833325386047,0.8443125486373901,0.7348333597183228,0.0005
294,0.481713205575943,0.8466110825538635,0.9029949307441711,0.7956388592720032,0.6991854906082153,0.7853333353996277,0.847931981086731,0.7397500276565552,0.0005
295,0.4727654755115509,0.8492777943611145,0.9049044251441956,0.7979999780654907,0.6778948307037354,0.7960000038146973,0.8548722863197327,0.753000020980835,0.0005
296,0.47730767726898193,0.8486388921737671,0.9038136005401611,0.8005277514457703,0.6734844446182251,0.7963333129882812,0.8591495752334595,0.7492499947547913,0.0005
297,0.46971577405929565,0.8506666421890259,0.9048663973808289,0.8016111254692078,0.6803020238876343,0.7952499985694885,0.8543393611907959,0.7473333477973938,0.0005
298,0.4760865867137909,0.8491666913032532,0.9046733975410461,0.7979722023010254,0.6748722195625305,0.7952499985694885,0.8539721965789795,0.747083306312561,0.0005
299,0.4760902225971222,0.8494444489479065,0.9051973223686218,0.8001944422721863,0.6944634318351746,0.7907500267028809,0.8533487319946289,0.7390000224113464,0.0005
300,0.47005364298820496,0.8513333201408386,0.9076589345932007,0.8019166588783264,0.7226330041885376,0.78125,0.8410305380821228,0.734499990940094,0.0005
301,0.4798372983932495,0.8484444618225098,0.9032743573188782,0.800000011920929,0.7452181577682495,0.7796666622161865,0.8420851230621338,0.7336666584014893,0.0005
302,0.4646521210670471,0.8540833592414856,0.9074620604515076,0.8033055663108826,0.7113082408905029,0.7816666960716248,0.8429893851280212,0.7360000014305115,0.0005
303,0.4780583083629608,0.8478333353996277,0.9030544757843018,0.7982500195503235,0.7162925004959106,0.7833333611488342,0.8442278504371643,0.7361666560173035,0.0005
304,0.46578487753868103,0.8518333435058594,0.9074823260307312,0.8034999966621399,0.6938167214393616,0.7902500033378601,0.8496906161308289,0.7438333630561829,0.0005
305,0.4763176143169403,0.8482778072357178,0.9038280248641968,0.8001388907432556,0.6755875945091248,0.799916684627533,0.8574409484863281,0.753333330154419,0.0005
306,0.4676722586154938,0.8527777791023254,0.906255841255188,0.8040000200271606,0.7106245160102844,0.7886666655540466,0.8478859663009644,0.7436666488647461,0.0005
307,0.4698795676231384,0.8529166579246521,0.9062138199806213,0.8041388988494873,0.7212308645248413,0.7846666574478149,0.8444275259971619,0.7400000095367432,0.0005
308,0.4713893234729767,0.8506388664245605,0.9057438969612122,0.8015833497047424,0.6842130422592163,0.7963333129882812,0.8553171157836914,0.7473333477973938,0.0005
309,0.4599275290966034,0.8537222146987915,0.9077509045600891,0.8074444532394409,0.7353264689445496,0.7792500257492065,0.8429949283599854,0.7355833053588867,0.0005
310,0.46678075194358826,0.8495833277702332,0.9047260880470276,0.8018888831138611,0.6947529315948486,0.7887499928474426,0.8497005701065063,0.7448333501815796,0.0005
311,0.47005996108055115,0.851194441318512,0.9050260186195374,0.8023055791854858,0.77377849817276,0.7706666588783264,0.8376010656356812,0.7250833511352539,0.0005
312,0.46816232800483704,0.851722240447998,0.9046024680137634,0.8031111359596252,0.7249284386634827,0.7819166779518127,0.8440164923667908,0.734083354473114,0.0005
313,0.4716487228870392,0.8507500290870667,0.9055320620536804,0.8025277853012085,0.733851969242096,0.7787500023841858,0.8430695533752441,0.7324166893959045,0.0005
314,0.45947548747062683,0.8543055653572083,0.9081801772117615,0.8058333396911621,0.703066349029541,0.7919999957084656,0.8534721732139587,0.7445833086967468,0.0005
315,0.4594208300113678,0.8541389107704163,0.907586932182312,0.8061388731002808,0.7225582599639893,0.7851666808128357,0.8455749154090881,0.7396666407585144,0.0005
316,0.4617924690246582,0.8541666865348816,0.907112717628479,0.8059444427490234,0.7774974703788757,0.765999972820282,0.8282296657562256,0.7212499976158142,0.0005
317,0.4595724940299988,0.8531388640403748,0.9081584811210632,0.8067222237586975,0.7073657512664795,0.7872499823570251,0.8476253747940063,0.7421666383743286,0.0005
318,0.46414709091186523,0.8532222509384155,0.9057773351669312,0.8034999966621399,0.6968963146209717,0.7880833148956299,0.8492889404296875,0.7415000200271606,0.0005
319,0.4549195170402527,0.8561388850212097,0.9084786176681519,0.8092777729034424,0.6998563408851624,0.7890833616256714,0.8486848473548889,0.750166654586792,0.0005
320,0.455098420381546,0.856166660785675,0.9089858531951904,0.8084166646003723,0.8048624396324158,0.7630833387374878,0.8268662691116333,0.7227500081062317,0.0005
321,0.45673811435699463,0.8566111326217651,0.9077315926551819,0.8094444274902344,0.7375813126564026,0.7785000205039978,0.8386881947517395,0.7352499961853027,0.0005
322,0.45426151156425476,0.8570833206176758,0.9082468748092651,0.8097777962684631,0.7281397581100464,0.7822499871253967,0.8412159085273743,0.7425833344459534,0.0005
323,0.45816394686698914,0.8561388850212097,0.9087753295898438,0.8071944713592529,0.7476308345794678,0.7751666903495789,0.8369151949882507,0.7334166765213013,0.0005
324,0.4587225615978241,0.855055570602417,0.9087557196617126,0.8078333139419556,0.6869197487831116,0.7944999933242798,0.8535056114196777,0.7486666440963745,0.0005
325,0.4640108644962311,0.8529999852180481,0.9059580564498901,0.805472195148468,0.7781730890274048,0.7679166793823242,0.8326283693313599,0.721750020980835,0.0005
326,0.4550752639770508,0.8551666736602783,0.908240020275116,0.8086110949516296,0.7438778281211853,0.7804166674613953,0.8387677669525146,0.737416684627533,0.0005
327,0.45211249589920044,0.8576388955116272,0.9095615148544312,0.8101666569709778,0.6881154179573059,0.796500027179718,0.8499155044555664,0.7545833587646484,0.0005
